Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
3.0,106378.4194,7.72432458,1323861000.0,120000.0,1.599305e+35,7.996451,23.43238,6.665232,0.0,0.0,3.810576e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
3.0,105680.2292,8.9059008,444729600.0,100000.0,1.75792e+34,8.078973,25.53845,8.15444,0.0,0.0,1.174605e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
3.0,105209.8067,8.67532206,555253300.0,100000.0,2.691777e+34,8.020251,25.03529,7.787845,0.0,0.0,1.407048e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
4.0,104983.6227,7.89929287,1120315000.0,180000.0,1.086421e+35,7.971012,23.65659,6.817396,0.0,0.0,3.12442e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
3.0,104502.8573,8.78666482,499427400.0,100000.0,2.119773e+34,8.044543,25.27244,7.960062,0.0,0.0,1.221586e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
3.0,104304.1573,8.36779023,735228800.0,120000.0,4.559146e+34,7.970704,24.42131,7.34853,0.0,0.0,1.968178e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
3.0,104172.1292,8.26408207,806373100.0,120000.0,5.45645e+34,7.960618,24.2328,7.215852,0.0,0.0,2.154228e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
3.0,103862.5357,8.57249161,610667300.0,120000.0,3.092267e+34,7.999885,24.81868,7.63172,0.0,0.0,1.54551e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.05
3.0,103681.3657,8.47081241,669961100.0,120000.0,3.696018e+34,7.983877,24.61555,7.486389,0.0,0.0,1.741151e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.0
2.0,102827.8555,7.55316281,1553571000.0,60000.0,1.922814e+35,8.003934,23.20405,6.512129,0.0,0.0,3.196057e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
4.0,102646.5076,9.21385872,324711800.0,150000.0,8.340747e+33,8.17291,26.2398,8.671929,0.0,0.0,9.543263e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
4.0,102045.4953,8.04608899,977138900.0,180000.0,7.377683e+34,7.951757,23.85994,6.956825,0.0,0.0,2.408606e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
