Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
265.0,1515.993,8.20717189,759309600.0,12890140000.0,2.169994e+27,4.97331,23.62453,6.799197,0.9982445438,-2.75561,3056519000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
258.0,1516.4378,8.28145858,721534600.0,12517100000.0,1.961755e+27,4.929637,23.79379,6.914405,0.9991985337,-3.096115,1445785000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
231.0,1517.7758,9.03261179,384362100.0,6306209000.0,5.586549e+26,4.440164,25.59746,8.199,0.9999999209,-7.101827,1765978000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.2
235.0,1518.2425,8.73949566,503851600.0,8896780000.0,9.611736e+26,4.638827,24.87663,7.675052,0.999996954,-5.516272,25275220000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
232.0,1525.6569,9.32206737,286677600.0,4170588000.0,3.172832e+26,4.304954,26.31388,8.727883,0.9999999706,-7.531452,285051600.0,-9.99986,-1.999885,-0.305396,-0.305396,1.3
195.0,1526.2393,7.47033036,1161051000.0,15709360000.0,5.212248e+27,5.403172,22.02309,5.759392,0.98939381,-1.974441,5834470000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.3
235.0,1526.3999,8.65710347,540634900.0,9640893000.0,1.130612e+27,4.70103,24.67707,7.532087,0.999990404,-5.017911,57963920000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.0
265.0,1527.2646,8.05335089,839181700.0,13424440000.0,2.730242e+27,5.069763,23.27946,6.56768,0.992666371,-2.134681,19186870000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.6
261.0,1527.8903,7.97216056,882179300.0,13726760000.0,3.022139e+27,5.116358,23.10002,6.449053,0.9915781192,-2.074591,45913830000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.55
248.0,1528.776,7.88678598,927999700.0,14075760000.0,3.351993e+27,5.165581,22.91316,6.326713,0.990764313,-2.034531,113135500000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.5
