initial_mass,ms_age
0.3399999764749266,199234679439.82672
16.999978181873036,11503576.115050165
134.99990229137822,2892450.7419967493
1.1999999213095252,3205051981.5412292
9.999994357986514,23970185.493895173
44.99968039507211,5719067.980984188
1.4199999058870927,1947119605.3175662
6.199999597703792,54944634.803341456
2.6199998277506573,336263575.6796032
4.999999679924515,83158893.37950106
49.999477756339076,5118252.683034908
119.99996836229438,3003642.5576810166
174.9997618053678,2441788.1936909687
1.9999998708753135,705186149.3866668
1.959999870312043,748069470.5547074
33.99991567436632,5398124.882442839
2.2599998518455093,499152876.1230497
1.7799998856269414,991059854.658514
0.38999997368243877,112479227919.76138
2.439999841137981,404959060.3864026
25.999946053098487,7321185.286032595
1.6399998920977725,1265428798.0918877
0.6999999530121569,18864374948.53861
1.0599999293166324,4769456135.638687
0.2499999828093814,408935759954.9707
2.5799998339372663,354076861.7624598
2.9999998075633534,241906498.62607992
2.139999860319859,581331061.0204508
3.9999997401656824,127701453.95933853
1.2799999148403132,2677217147.4234
2.7599998152294036,297557981.0482907
0.9599999364798089,6531919794.468236
1.819999880542255,942128110.8817124
7.19999946024062,41892076.993153386
0.7499999506576472,14889052417.170061
2.079999863329403,630288401.350202
1.5599998952045377,1468142220.5421865
10.999992529194621,20688820.564613964
0.19999998636428568,580508228903.2883
1.339999913640276,2315212394.4493976
15.99998171627532,12395234.140444592
74.99824422630603,3330224.826009257
19.999969070710048,9527734.835548608
149.99981161535237,2660186.558336162
104.9999211887479,3150653.315115091
1.1199999273539796,4004737966.0108833
0.30999997904090626,258750743032.65445
1.6999998871411905,1136707209.123022
31.999918590170168,6126751.335837766
144.9998288164681,2829949.8002750026
109.99998812845585,2836330.5349754454
59.99843397576105,4578407.277715241
2.4999998351105917,380203483.80004025
2.319999843163977,464383420.407738
94.99987526680167,3275929.804882114
2.5999998327635394,343565311.9524395
37.99985777761225,6081295.644190025
2.0199998701108792,684990027.8440926
5.599999635959961,66848116.05114041
0.7999999466502277,11935333370.467548
1.939999872806322,782198946.4783943
